10000	0.000030	0.000010
20000	0.000071	0.000042
30000	0.000094	0.000067
40000	0.000110	0.000089
50000	0.000137	0.000100
60000	0.000137	0.000108
70000	0.000151	0.000111
80000	0.000169	0.000112
90000	0.000183	0.000117
100000	0.000192	0.000127
110000	0.000210	0.000131
120000	0.000220	0.000158
130000	0.000249	0.000159
140000	0.000263	0.000173
150000	0.000271	0.000188
160000	0.000285	0.000191
170000	0.000309	0.000206
180000	0.000317	0.000215
190000	0.000321	0.000225
200000	0.000323	0.000226
